id,title,release_year,budget,revenue,original_language,runtime,popularity,goodness_enc,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,Thriller,War,Western
193756,Lone Survivor,2013,40000000,149295601,en,121.0,37.084384,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
193893,Let's Be Cops,2014,17000000,136621271,en,104.0,70.66892299999999,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
194662,Birdman,2014,18000000,103215094,en,119.0,89.811154,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
195589,Neighbors,2014,18000000,268157400,en,96.0,36.471231,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
196867,Annie,2014,65000000,133821816,en,119.0,33.439187,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
198062,Coffee Town,2013,0,0,en,87.0,2.253589,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
198184,Chappie,2015,49000000,104399548,en,120.0,116.700319,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
198185,Million Dollar Arm,2014,25000000,38307627,en,124.0,17.312433,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
198277,Begin Again,2013,8000000,63464861,en,104.0,35.735689,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
198663,The Maze Runner,2014,34000000,348319861,en,113.0,131.815575,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
199373,The Frozen Ground,2013,27220000,5496951,en,105.0,28.060471999999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
199933,Atlas Shrugged Part III: Who is John Galt?,2014,5000000,846704,en,99.0,1.7310349999999999,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
